time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608181200,21820,21820,21800,21800,1.976,43092.01,force_direct,
1608181260,21820,21820,21819.9,21820,2.394,52232.71,force_direct,
1608181320,21843.4,21843.4,21820,21820,0.1188,2594.02,force_direct,
1608181380,21843.5,21843.5,21842.4,21843.4,0.1648,3599.01,force_direct,
1608181440,21842.5,21848.5,21842.5,21843.5,0.403,8802.79,force_direct,
1608181500,21840.8,21842.5,21840.5,21842.5,0.04221,921.86,force_direct,
1608181560,21844.4,21848.5,21840.8,21840.8,2.215,48394.3,force_direct,
1608181620,21860,21860.1,21844.4,21844.4,2.758,60267.88,force_direct,
1608181680,21863.5,21863.5,21860,21860,0.7696,16823.93,force_direct,
1608181740,21893.5,21893.5,21863.5,21863.5,11.2,244995.9,force_direct,
1608181800,21900.5,21904.2,21893.4,21893.5,11.98,262264.04,force_direct,
1608181860,21895.1,21900.5,21895,21900.5,1.229,26904.08,force_direct,
1608181920,21903.4,21903.5,21895,21895.1,0.4963,10867.33,force_direct,
1608181980,21961.5,21961.5,21903.3,21903.4,2.583,56680.84,force_direct,
1608182040,21945.5,21965.7,21938.3,21961.5,3.745,82201.92,force_direct,
1608182100,21959.4,21976.3,21945.5,21945.5,11.54,253584.76,force_direct,
1608182160,22005.4,22005.4,21955,21959.4,14.86,326766.43,force_direct,
1608182220,21989,22005.4,21978.2,22005.4,1.609,35380.24,force_direct,
1608182280,21974.5,21989,21974.4,21989,1.664,36593,force_direct,
1608182340,22000.1,22013,21974.5,21974.5,16.95,372907.91,force_direct,
1608182400,21958.2,22000.1,21958.2,22000.1,13.16,289153.76,force_direct,
1608182460,21992.5,21993.5,21958.2,21958.2,5.381,118289.05,force_direct,
1608182520,21993.8,21993.8,21989.6,21992.5,0.3025,6653.26,force_direct,
1608182580,21994.1,21994.7,21993.8,21993.8,6.145,135161.68,force_direct,
1608182640,21965.4,21994.1,21962,21994.1,2.669,58635.24,force_direct,
1608182700,21983.1,21990,21965.3,21965.4,3.388,74469.75,force_direct,
1608182760,21983.1,21983.1,21983,21983.1,0.336,7385.21,force_direct,
1608182820,21983.1,21983.1,21983,21983.1,0.1798,3953.03,force_direct,
1608182880,21982.9,21983.1,21980,21983.1,0.8401,18466.53,force_direct,
1608182940,21988.4,21988.4,21982.9,21982.9,4.453,97921.82,force_direct,
1608183000,21981.6,21993.2,21981.6,21988.4,11.11,244248.71,force_direct,
1608183060,21984.6,21995.4,21981.6,21981.6,0.7924,17427.71,force_direct,
1608183120,21980,21984.8,21980,21984.6,0.9675,21268.61,force_direct,
1608183180,21981.4,21981.4,21980,21980,0.132,2900.6,force_direct,
1608183240,21982.6,21985.6,21981.4,21981.4,1.795,39467.2,force_direct,
1608183300,21981.4,21995.7,21981.4,21982.6,17.66,388220.25,force_direct,
1608183360,21986.5,21986.5,21981.4,21981.4,0.1267,2785.98,force_direct,
1608183420,22033.8,22033.8,21986.5,21986.5,3.41,75108.2,force_direct,
1608183480,22076.5,22081.9,22033.8,22033.8,7.203,158854.12,force_direct,
1608183540,22070.8,22087.9,22066,22076.5,4.766,105225.92,force_direct,
1608183600,22050.1,22070.8,22050,22070.8,5.482,120874.22,force_direct,
1608183660,22050.3,22050.3,22050,22050.1,2.707,59680.03,force_direct,
1608183720,22100.5,22100.5,22050.3,22050.3,9.887,218231.52,force_direct,
1608183780,22107.9,22110,22081.2,22100.5,5.636,124559.13,force_direct,
1608183840,22097.9,22107.9,22091.7,22107.9,2.269,50127.29,force_direct,
1608183900,22110,22110,22097.9,22097.9,3.159,69840.22,force_direct,
1608183960,22136.5,22149,22110,22110,11.01,243599.35,force_direct,
1608184020,22141.4,22141.4,22136.5,22136.5,0.3355,7427.02,force_direct,
1608184080,22142,22154.9,22141.4,22141.4,6.89,152562.54,force_direct,
1608184140,22100,22142.1,22078.1,22142,11.26,248946.71,force_direct,
1608184200,22140.8,22148.4,22100,22100,1.347,29821.92,force_direct,
1608184260,22118.1,22140.8,22110,22140.8,4.892,108232.29,force_direct,
1608184320,22120,22124.6,22112.2,22118.1,15.33,339119,force_direct,
1608184380,22120,22123.6,22120,22120,0.9247,20455.44,force_direct,
1608184440,22120,22124,22120,22120,4.787,105904.92,force_direct,
1608184500,22141.6,22150,22120,22120,1.079,23882.74,force_direct,
1608184560,22170,22170,22141.6,22141.6,1.689,37428.06,force_direct,
1608184620,22226.7,22264.7,22169.9,22170,41.18,915207.1,force_direct,
1608184680,22292.4,22317,22226.7,22226.7,42.08,937418.17,force_direct,
1608184740,22297.1,22317,22285.4,22292.4,15.87,353811.79,force_direct,
1608184800,22246.5,22297.1,22231.5,22297.1,20.36,452960.02,force_direct,
1608184860,22152.6,22246.5,22134.7,22246.5,18.14,402344.29,force_direct,
1608184920,22163.6,22170,22146.7,22152.6,13.46,298330.26,force_direct,
1608184980,22133.6,22163.6,22120.1,22163.6,5.356,118585.89,force_direct,
1608185040,22169.4,22169.4,22133.6,22133.6,1.843,40831.73,force_direct,
